batchID,lotID,profileID,roastDate,quantityProducedKg,notes
RB0001,BL0191,RP181,2024-11-12,201.5,"An espresso blend comprised of coffees from Panama and Ethiopia. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, and, in ca…"
RB0002,BL0120,RP163,2025-10-20,154.2,"An espresso blend comprised of coffees from Africa and the Asia-Pacific. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green coffee, roasting, an…"
RB0003,BL0154,RP036,2025-04-05,49.4,This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are pr…
RB0004,BL0105,RP010,2025-02-25,85.2,This coffee tied for the third-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are pr…
RB0005,BL0163,RP183,2024-08-14,90.1,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0006,BL0153,RP132,2025-04-20,161.3,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are p…
RB0007,BL0151,RP189,2024-10-13,139.1,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia coffees like this one are p…
RB0008,BL0173,RP092,2024-04-10,46.7,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Southern Ethiopia produces distinctive coffee…
RB0009,BL0029,RP052,2025-10-12,110.3,This coffee tied for the second-highest rating in a tasting of 71 organic-certified coffees from Africa for Coffee Review’s November 2017 tasting report. Produced by the METAD farm and mill in southe…
RB0010,BL0099,RP184,2024-07-31,28.7,This exceptional coffee was selected as the No. 17 coffee on Coffee Review’s list of the Top 30 Coffees of 2017. This coffee also tied for the highest rating in a tasting of 71 organic-certified coff…
RB0011,BL0002,RP162,2024-01-30,48.3,"Produced by the Thiriku Coffee Growers Cooperative Society from trees of the SL-28, SL-34 and Ruiru varieties of Arabica. Processed by a particularly meticulous Kenya variation on the traditional wet…"
RB0012,BL0147,RP024,2024-03-18,132.5,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0013,BL0095,RP009,2025-01-25,200.2,"Coffees in this blend are all fully wet-processed or “washed” and certified organically grown in both Canada and the U.S. Since 1997, Level Ground Trading has been an importer and roaster based in Vi…"
RB0014,BL0168,RP042,2025-06-01,180.8,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. This is a dry-processed or “natural” version, meaning the be…"
RB0015,BL0047,RP085,2024-11-01,147.4,"Produced in Yirgacheffe, a coffee region in southern Ethiopia that produces particularly distinctive coffees from traditional varieties of Arabica long grown in the region. Yirgacheffe coffees like t…"
RB0016,BL0064,RP091,2025-02-21,48.0,"Yirgacheffe is a coffee region in southern Ethiopia that produces distinctive coffees from traditional varieties of Arabica long grown in the region. This is a “natural” or dry-processed version, mea…"
RB0017,BL0125,RP046,2024-10-11,131.4,"An espresso blend comprised of coffees from Ethiopia, Kenya and the Yunnan Province of China. A.R.C., whose motto is “more than specialty,” rigorously controls three vital elements: sourcing of green…"
RB0018,BL0191,RP123,2024-03-15,60.0,"Produced from trees of the Caturra and Castillo varieties of Arabica and decaffeinated at origin using ethyl acetate, a natural solvent derived from sugar cane. Bootstrap is the definition of a quali…"
RB0019,BL0029,RP068,2024-01-20,35.8,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0020,BL0126,RP071,2024-11-19,156.6,"This exceptional coffee was selected as the No. 2 coffee on Coffee Review’s list of the Top 30 Coffees of 2017. Hula Daddy is a boutique coffee producer with farms at the 1,400 and 2,500 foot levels…"
RB0021,BL0056,RP062,2025-11-12,111.0,"Produced from trees of the admired SL-28 and SL-34. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive…"
RB0022,BL0063,RP012,2025-10-17,106.3,"Despite grower discontent and urban encroachment on prime coffee lands, Kenya continues to produce some of the world’s most elegant and distinctive coffees. This coffee is the result of a partnership…"
RB0023,BL0197,RP061,2025-02-24,123.5,"Southern Ethiopia coffees like this one are produced from distinctive traditional Ethiopian varieties of Arabica long grown in the region. Like virtually all southern Ethiopia coffees, this coffee is…"
RB0024,BL0081,RP014,2024-07-15,77.3,"A blend of coffees from Mexico, Ethiopia and Brazil. Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.pr…"
RB0025,BL0193,RP145,2024-09-06,244.9,A blend of coffees from Mexico and Ethiopia. Propeller is a Toronto-based micro-roaster with a dedication to careful selection and exceptional craft roasting of high-end coffees. Visit www.propellerc…
RB0026,BL0005,RP145,2025-04-28,71.6,"Produced by farmers of the Mutungati Cooperative from trees of the SL28, SL34, and Ruiru 11 varieties of Arabica. Despite grower discontent and urban encroachment on prime coffee lands, Kenya continu…"
