supplierID,supplierName,contactEmail,phone
S001,metad agricultural developmet plc,contact@metad.agricultural.developmet.plc.example.com,+1-555-3201
S002,grounds for health admin,contact@grounds.for.health.admin.example.com,+1-555-2033
S003,yidnekachew debessa coffee plantation,contact@yidnekachew.debessa.coffee.plantation.example.com,+1-555-5179
S004,ji-ae ahn,contact@ji.ae.ahn.example.com,+1-555-2931
S005,richmond investment-coffee department,contact@richmond.investment.coffee.department.example.com,+1-555-9117
S006,ethiopia commodity exchange,contact@ethiopia.commodity.exchange.example.com,+1-555-8364
S007,diamond enterprise plc,contact@diamond.enterprise.plc.example.com,+1-555-8737
S008,fahem coffee plantation,contact@fahem.coffee.plantation.example.com,+1-555-7219
S009,coffee quality institute,contact@coffee.quality.institute.example.com,+1-555-4439
S010,yunnan coffee exchange,contact@yunnan.coffee.exchange.example.com,+1-555-2537
S011,essence coffee,contact@essence.coffee.example.com,+1-555-8993
S012,the coffee source inc.,contact@the.coffee.source.inc.example.com,+1-555-1464
S013,roberto licona franco,contact@roberto.licona.franco.example.com,+1-555-7386
S014,nucoffee,contact@nucoffee.example.com,+1-555-8090
S015,kabum trading company,contact@kabum.trading.company.example.com,+1-555-1034
S016,cigrah s.a de c.v,contact@cigrah.s.a.de.c.v.example.com,+1-555-8297
S017,taiwan coffee laboratory,contact@taiwan.coffee.laboratory.example.com,+1-555-5363
S018,nora zeas,contact@nora.zeas.example.com,+1-555-4748
S019,specialty coffee-korea,contact@specialty.coffee.korea.example.com,+1-555-2674
S020,exclusive coffees s.a.,contact@exclusive.coffees.s.a.example.com,+1-555-6200
S021,haider abamecha coffee export,contact@haider.abamecha.coffee.export.example.com,+1-555-1501
S022,c dorman ltd,contact@c.dorman.ltd.example.com,+1-555-1365
S023,kona pacific farmers cooperative,contact@kona.pacific.farmers.cooperative.example.com,+1-555-1416
S024,lanna cafe,contact@lanna.cafe.example.com,+1-555-9870
S025,jacques pereira carneiro,contact@jacques.pereira.carneiro.example.com,+1-555-1150
S026,keremara limited,contact@keremara.limited.example.com,+1-555-7245
S027,ucda,contact@ucda.example.com,+1-555-4548
S028,lusso coffee lab,contact@lusso.coffee.lab.example.com,+1-555-7915
S029,kawacom uganda ltd,contact@kawacom.uganda.ltd.example.com,+1-555-1475
S030,"unex guatemala, s.a.",contact@unex.guatemala.s.a.example.com,+1-555-9644
S031,exportadora de cafe condor s.a,contact@exportadora.de.cafe.condor.s.a.example.com,+1-555-4632
S032,ce specialty s.a.,contact@ce.specialty.s.a.example.com,+1-555-8174
S033,ibrahim hussien specality coffee product & exporter,contact@ibrahim.hussien.specality.coffee.product.example.com,+1-555-9123
S034,sertrasa,contact@sertrasa.example.com,+1-555-4818
